Sr. No.,City,No. of seats,Category,State,Winning Candidate,Political Party,Electors,Voters,Turnout,Margin,Margin percentage
181,Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshaya Yadav,Samajwadi Party,"18,90,772","11,07,296",58.60%,"89,312",8.10%
182,Gadchiroli-Chi,12,ST,Maharashtra,Dr. Kirsan Namdeo,Indian National Congress,"16,17,207","11,66,360",72.10%,"1,41,696",12.10%
183,Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,"21,82,736","13,21,802",60.60%,"7,44,716",56.30%
184,Ganganagar,1,SC,Rajasthan,Kuldeep Indora,Indian National Congress,"21,02,002","14,13,494",67.30%,"88,153",6.20%
185,Garhwal,2,GEN,Uttarakhand,Anil Baluni,Bharatiya Janta Party,"13,69,388","7,37,431",53.90%,"1,63,503",22.20%
186,Gautam Buddha Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr. Mahesh Sharma,Bharatiya Janta Party,"26,75,148","14,37,244",53.70%,"5,59,472",38.90%
187,Gaya,38,SC,Bihar [2000 Onwards],Jitan Ram Manjhi,Hindustani Awam Morcha (Secular),"18,16,815","9,63,676",53.00%,"1,01,812",10.60%
188,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,"19,39,945","16,00,556",82.50%,"1,82,868",11.40%
189,Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Atul Garg,Bharatiya Janta Party,"29,45,487","14,70,430",49.90%,"3,36,965",22.90%
190,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Samajwadi Party,"20,74,883","11,53,094",55.60%,"1,24,861",10.80%
191,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Rajeev Rai,Samajwadi Party,"20,83,928","11,50,590",55.20%,"1,62,943",14.20%
192,Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,"18,64,660","12,64,833",67.80%,"80,880",6.40%
193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"20,28,154","13,98,204",68.90%,"1,01,813",7.30%
194,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirtivardhan Singh,Bharatiya Janta Party,"18,43,121","9,52,884",51.70%,"46,224",4.90%
195,Gopalganj,17,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),"20,24,673","10,63,027",52.50%,"1,27,180",12.00%
196,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Ravindra Shukla Alias Ravi Kishan,Bharatiya Janta Party,"20,97,202","11,54,413",55.10%,"1,03,526",9.00%
197,Gulbarga,5,SC,Karnataka,Radhakrishna,Indian National Congress,"20,98,202","13,10,477",62.50%,"27,205",2.10%
198,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M. Scindia,Bharatiya Janta Party,"18,89,551","13,73,766",72.70%,"5,40,929",39.40%
199,Guntur,13,,Andhra Pradesh [2014 Onwards],Dr Chandra Sekhar Pemmasani,Telugu Desam,"17,91,543","14,25,371",79.60%,"3,44,695",24.20%
200,Gurdaspur,1,GEN,Punjab,Sukhjinder Singh Randhawa,Indian National Congress,"16,05,204","10,77,826",67.20%,"82,861",7.70%
201,Gurgaon,9,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,"25,73,411","16,01,232",62.20%,"75,079",4.70%
202,Guwahati,5,GEN,Assam,Bijuli Kalita Medhi,Bharatiya Janta Party,"20,36,846","15,99,389",78.50%,"2,51,090",15.70%
203,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Bharat Singh Kushwah,Bharatiya Janta Party,"21,54,601","13,43,229",62.30%,"70,210",5.20%
204,Hajipur,21,SC,Bihar [2000 Onwards],Chirag Paswan,Lok Janshakti Party(Ram Vilas),"19,67,094","11,55,324",58.70%,"1,70,105",14.70%
205,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Ajendra Singh Lodhi,Samajwadi Party,"18,39,761","11,15,299",60.60%,"2,629",0.20%
206,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"14,32,636","10,47,263",73.10%,"1,82,357",17.40%
207,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Jai Prakash,Bharatiya Janta Party,"19,10,485","11,00,116",57.60%,"27,856",2.50%
208,Hardwar,5,GEN,Uttarakhand,Trivendra Singh Rawat,Bharatiya Janta Party,"20,35,726","13,02,623",64.00%,"1,64,056",12.60%
209,Hassan,16,GEN,Karnataka,Shreyas. M. Patel,Indian National Congress,"17,36,610","13,55,007",78.00%,"42,649",3.10%
210,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Anoop Pradhan Balmiki,Bharatiya Janta Party,"19,38,080","10,82,720",55.90%,"2,47,318",22.80%
211,Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,"18,14,277","12,96,024",71.40%,"13,426",1.00%
212,Haveri,10,GEN,Karnataka,Basavaraj Bommai,Bharatiya Janta Party,"17,92,774","13,95,812",77.90%,"43,513",3.10%
213,Hazaribagh,14,GEN,Jharkhand,Manish Jaiswal,Bharatiya Janta Party,"19,39,374","12,64,667",65.20%,"2,76,686",21.90%
214,Hindupur,20,,Andhra Pradesh [2014 Onwards],B K Parthasarathi,Telugu Desam,"16,56,775","14,16,339",85.50%,"1,32,427",9.30%
215,Hingoli,15,GEN,Maharashtra,Aashtikar Patil Nagesh Bapurao,Shiv Sena (Uddhav Balasaheb Thackrey),"18,17,734","11,59,300",63.80%,"1,08,602",9.40%
216,Hisar,4,GEN,Haryana,Jai Parkash (J P) S/O HARIKESH,Indian National Congress,"17,90,722","11,74,115",65.60%,"63,381",5.40%
217,Hooghly,28,GEN,West Bengal,Rachna Banerjee,All India Trinamool Congress,"18,58,067","15,17,511",81.70%,"76,853",5.10%
218,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Darshan Singh Choudhary,Bharatiya Janta Party,"18,55,692","12,49,692",67.30%,"4,31,696",34.50%
219,Hoshiarpur,5,SC,Punjab,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,"16,01,826","9,48,485",59.20%,"44,111",4.70%
220,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,"17,69,184","12,71,796",71.90%,"1,69,442",13.30%
221,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,"22,17,094","10,80,324",48.70%,"3,38,087",31.30%
222,Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,"12,50,157","8,40,657",67.20%,"1,33,727",15.90%
223,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Shankar Lalwani,Bharatiya Janta Party,"25,26,803","15,61,968",61.80%,"11,75,092",75.20%
224,Inner Manipur,1,GEN,Manipur,Angomcha Bimol Akoijam,Indian National Congress,"9,91,574","7,96,897",80.40%,"1,09,801",13.80%
225,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Ashish Dubey,Bharatiya Janta Party,"18,96,346","11,58,545",61.00%,"4,86,674",42.00%
226,Jadavpur,22,GEN,West Bengal,Sayani Ghosh,All India Trinamool Congress,"20,33,525","15,66,509",77.00%,"2,58,201",16.50%
227,Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Bharatiya Janta Party,"17,00,814","12,86,287",75.60%,"40,696",3.20%
228,Jahanabad,36,GEN,Bihar [2000 Onwards],Surendra Prasad Yadav,Rashtriya Janata Dal,"16,70,327","9,25,370",55.10%,"1,42,591",15.40%
229,Jaipur,7,GEN,Rajasthan,Manju Sharma,Bharatiya Janta Party,"22,87,350","14,63,258",64.00%,"3,31,767",22.70%
230,Jaipur Rural,6,GEN,Rajasthan,Rao Rajendra Singh,Bharatiya Janta Party,"21,84,978","12,62,054",57.80%,"1,615",0.10%
231,Jajpur,8,SC,Orissa,Rabindra Narayan Behera,Bharatiya Janta Party,"15,45,664","11,61,208",75.10%,"1,587",0.10%
232,Jalandhar,4,SC,Punjab,Charanjit Singh Channi,Indian National Congress,"16,54,005","9,89,107",59.80%,"1,75,993",17.80%
233,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Narayan Das Ahirwar,Samajwadi Party,"20,06,161","11,28,949",56.30%,"53,898",4.80%
234,Jalgaon,3,GEN,Maharashtra,Smita Uday Wagh,Bharatiya Janta Party,"19,94,046","11,69,553",58.70%,"2,51,594",21.50%
235,Jalna,18,GEN,Maharashtra,Kalyan Vaijinathrao Kale,Indian National Congress,"19,67,574","13,63,409",69.30%,"1,09,958",8.10%
236,Jalore,18,GEN,Rajasthan,Lumbaram,Bharatiya Janta Party,"22,97,328","14,51,126",63.20%,"2,01,543",13.90%
237,Jalpaiguri,3,SC,West Bengal,Dr Jayanta Kumar Roy,Bharatiya Janta Party,"18,85,963","15,78,389",83.70%,"86,693",5.50%
238,Jammu,5,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,"17,80,835","13,02,176",73.10%,"1,35,498",10.40%
239,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,"18,17,864","10,51,235",57.80%,"2,38,008",22.60%
240,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,"18,69,278","12,77,629",68.40%,"2,59,782",20.30%
241,Jamui,40,SC,Bihar [2000 Onwards],Arun Bharti,Lok Janshakti Party(Ram Vilas),"19,07,126","9,79,233",51.40%,"1,12,482",11.50%
242,Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,"18,05,360","13,69,633",75.90%,"1,16,637",8.50%
243,Janjgir-Champa,3,SC,Chhattisgarh,Kamlesh Jangde,Bharatiya Janta Party,"20,56,047","13,92,240",67.70%,"60,000",4.30%
244,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Babu Singh Kushwaha,Samajwadi Party,"19,77,237","11,01,788",55.70%,"99,335",9.00%
245,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"20,30,525","14,21,331",70.00%,"3,70,989",26.10%
246,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Ramprit Mandal,Janata Dal (United),"20,03,040","10,93,741",54.60%,"1,84,169",16.80%
247,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,"21,61,221","13,80,506",63.90%,"1,02,614",7.40%
248,Jhargram,33,ST,West Bengal,Kalipada Saren (KHERWAL),All India Trinamool Congress,"17,79,794","14,90,843",83.80%,"1,74,048",11.70%
249,Jhunjhunu,4,GEN,Rajasthan,Brijendra Singh Ola,Indian National Congress,"20,68,540","11,18,927",54.10%,"18,235",1.60%
250,Jodhpur,16,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,"21,32,713","13,83,838",64.90%,"1,15,677",8.40%
251,Jorhat,14,GEN,Assam,Gaurav Gogoi,Indian National Congress,"17,27,121","13,91,160",80.60%,"1,44,393",10.40%
252,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,"18,44,780","14,82,631",80.30%,"4,70,219",31.70%
253,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,"17,95,110","10,68,253",59.50%,"1,35,494",12.70%
254,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,"19,43,136","10,95,157",56.40%,"2,68,782",24.50%
255,Kadapa,21,,Andhra Pradesh [2014 Onwards],Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,"16,39,066","13,21,975",80.70%,"62,695",4.70%
256,Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Iqra Choudhary,Samajwadi Party,"17,22,432","10,79,806",62.70%,"69,116",6.40%
257,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Karan Bhushan Singh,Bharatiya Janta Party,"19,04,726","10,62,099",55.80%,"1,48,843",14.00%
258,Kakinada,6,,Andhra Pradesh [2014 Onwards],Tangella Uday Srinivas (TEA TIME UDAY),Janasena Party,"16,34,122","13,29,803",81.40%,"2,29,491",17.30%
259,Kalahandi,11,GEN,Orissa,Malvika Devi,Bharatiya Janta Party,"17,00,780","13,34,244",78.50%,"1,33,813",10.00%
260,Kallakurichi,14,GEN,Tamil Nadu,Malaiyarasan D,Dravida Munnetra Kazhagam,"15,68,681","12,49,568",79.70%,"53,784",4.30%
261,Kalyan,24,GEN,Maharashtra,Dr Shrikant Eknath Shinde,Shiv Sena,"20,82,221","10,45,736",50.20%,"2,09,144",20.00%
262,Kancheepuram,6,SC,Tamil Nadu,Selvam. G,Dravida Munnetra Kazhagam,"17,48,866","12,59,578",72.00%,"2,21,473",17.60%
263,Kandhamal,13,GEN,Orissa,Sukanta Kumar Panigrahi,Bharatiya Janta Party,"13,39,090","9,96,091",74.40%,"21,371",2.10%
264,Kangra,1,GEN,Himachal Pradesh,Dr Rajeev Bhardwaj,Bharatiya Janta Party,"15,02,514","10,36,868",69.00%,"2,51,895",24.30%
265,Kanker,11,ST,Chhattisgarh,Bhojraj Nag,Bharatiya Janta Party,"16,54,440","12,65,429",76.50%,"1,884",0.10%
266,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,"19,88,925","12,17,833",61.20%,"1,70,922",14.00%
267,Kanniyakumari,39,GEN,Tamil Nadu,Vijayakumar (Alias) VIJAY VASANTH,Indian National Congress,"15,57,915","10,29,055",66.10%,"1,79,907",17.50%
268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,"13,58,368","10,63,855",78.30%,"1,08,982",10.20%
269,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,"16,62,859","8,87,396",53.40%,"20,968",2.40%
270,Kanthi,31,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,"17,94,537","15,30,997",85.30%,"47,764",3.10%
271,Karakat,35,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),"18,81,191","10,31,618",53.70%,"1,05,858",10.30%
272,Karauli-Dholpu,10,SC,Rajasthan,Bhajan Lal Jatav,Indian National Congress,"19,75,352","9,88,122",50.00%,"98,945",10.00%
273,Karimganj,7,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,"14,12,148","11,46,882",81.20%,"18,360",1.60%
274,Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,"17,97,150","13,12,852",73.10%,"2,25,209",17.20%
275,Karnal,5,GEN,Haryana,Manohar Lal,Bharatiya Janta Party,"21,04,229","13,45,892",64.00%,"2,32,577",17.30%
276,Karur,23,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,"14,29,790","11,32,045",79.10%,"1,66,816",14.70%
277,Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,"14,52,230","11,12,546",76.60%,"1,00,649",9.00%
278,Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,"18,33,009","11,71,546",63.90%,"49,863",4.30%
279,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,"19,09,620","10,09,329",52.90%,"1,03,944",10.30%
280,Kaziranga,10,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,"20,50,126","16,29,937",79.50%,"2,48,947",15.30%
281,Kendrapara,15,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,"17,92,723","12,77,108",71.20%,"66,536",5.20%
282,Keonjhar,4,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,"15,88,179","12,56,615",79.10%,"97,042",7.70%
283,Khadoor Sahib,3,GEN,Punjab,Amritpal Singh,Independent,"16,67,797","10,47,165",62.80%,"1,97,120",18.80%
284,Khagaria,25,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),"18,40,217","10,61,894",57.70%,"1,61,131",15.20%
285,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,"19,97,483","11,40,570",57.10%,"5,41,229",47.50%
286,Khammam,17,GEN,Telangana,Ramasahayam Raghuram Reddy,Indian National Congress,"16,31,039","12,51,283",76.70%,"4,67,847",37.40%
287,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,"21,12,203","15,12,542",71.60%,"2,69,971",17.80%
288,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,"20,46,030","15,58,778",76.20%,"1,35,018",8.70%
289,Kheda,17,GEN,Gujarat,Devusinh Chauhan,Bharatiya Janta Party,"20,07,404","11,75,848",58.60%,"3,57,758",30.40%
290,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,"18,70,170","12,13,359",64.90%,"34,329",2.80%
291,Khunti,11,ST,Jharkhand,Kali Charan Munda,Indian National Congress,"13,26,138","9,36,682",70.60%,"1,49,675",16.00%
292,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,"18,29,994","11,51,099",62.90%,"59,692",5.20%
293,Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,"22,05,318","13,69,964",62.10%,"3,77,014",27.50%
294,Kokrajhar,1,ST,Assam,Joyanta Basumatary,United Peoples Party Liberal,"14,84,571","12,41,496",83.60%,"51,583",4.20%
295,Kolar,28,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),"17,26,914","13,55,228",78.50%,"71,388",5.30%
296,Kolhapur,47,GEN,Maharashtra,Chhatrapati Shahu Shahaji,Indian National Congress,"19,36,403","13,93,326",72.00%,"1,54,964",11.10%
297,Kolkata Dakshi,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,"18,49,520","12,43,477",67.20%,"1,87,231",15.10%
298,Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,"15,05,356","9,58,433",63.70%,"92,560",9.70%
299,Kollam,18,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,"13,26,648","9,15,691",69.00%,"1,50,302",16.40%
300,Koppal,8,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,"18,66,397","13,28,936",71.20%,"46,357",3.50%
301,Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,"14,80,922","11,48,842",77.60%,"1,47,744",12.90%
302,Korba,4,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,"16,18,864","12,25,313",75.70%,"43,283",3.50%
303,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,"20,88,023","15,00,157",71.90%,"41,974",2.80%
304,Kottayam,14,GEN,Kerala,Adv K Francis George,Kerala Congress,"12,54,823","8,36,223",66.60%,"87,266",10.40%
305,Kozhikode,5,GEN,Kerala,M. K. Raghavan,Indian National Congress,"14,29,631","10,90,050",76.30%,"1,46,176",13.40%
306,Krishnagiri,9,GEN,Tamil Nadu,Gopinath K,Indian National Congress,"16,23,179","11,66,156",71.80%,"1,92,486",16.50%
307,Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,"17,55,631","14,25,712",81.20%,"56,705",4.00%
308,Kurnool,18,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,"17,22,857","13,30,780",77.20%,"1,11,298",8.40%
309,Kurukshetra,2,GEN,Haryana,Naveen Jindal,Bharatiya Janta Party,"17,94,300","12,05,872",67.20%,"29,021",2.40%
310,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,"18,75,222","10,80,483",57.60%,"81,790",7.60%
311,Ladakh,1,GEN,Ladakh,Mohmad Haneefa,Independent,"1,84,808","1,35,524",73.30%,"27,862",20.60%
312,Lakhimpur,12,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,"15,77,234","12,11,214",76.80%,"2,01,257",16.60%
313,Lakshadweep,1,,Lakshadweep,Muhammed Hamdullah Sayeed,Indian National Congress,"57,784","49,200",85.10%,"2,647",5.40%
314,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,"18,38,882","10,03,438",54.60%,"1,15,023",11.50%
315,Latur,41,SC,Maharashtra,Dr. Kalge Shivaji Bandappa,Indian National Congress,"19,77,042","12,39,079",62.70%,"61,881",5.00%
316,Lohardaga,12,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,"14,41,302","9,67,125",67.10%,"1,39,138",14.40%
317,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,"21,72,171","11,36,892",52.30%,"1,35,159",11.90%
318,Ludhiana,7,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,"17,58,614","10,59,157",60.20%,"20,942",2.00%
319,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,"19,40,605","10,60,063",54.60%,"35,850",3.40%
320,Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,"15,39,460","13,12,004",85.20%,"2,23,179",17.00%
321,Madha,43,GEN,Maharashtra,Mohite-Patil Dhairyasheel Rajsinh,Nationalist Congress Party – Sharadchandra Pawar,"19,91,454","12,73,418",63.90%,"1,20,837",9.50%
322,Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),"20,71,166","12,09,695",58.40%,"1,74,534",14.40%
323,Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,"19,34,980","10,27,728",53.10%,"1,51,945",14.80%
324,Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),"15,82,271","9,86,969",62.40%,"2,09,409",21.20%
325,Mahabubabad,16,ST,Telangana,Balram Naik Porika,Indian National Congress,"15,32,366","11,08,786",72.40%,"3,49,165",31.50%
326,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj Chaudhary,Bharatiya Janta Party,"20,04,050","12,10,451",60.40%,"35,451",2.90%
327,Maharajganj,19,GEN,Bihar [2000 Onwards],"Janardan Singh ""sigriwal""",Bharatiya Janta Party,"19,34,937","10,14,109",52.40%,"1,02,651",10.10%
328,Mahasamund,9,GEN,Chhattisgarh,Roop Kumari Choudhary,Bharatiya Janta Party,"17,62,477","13,26,080",75.20%,"1,45,456",11.00%
329,Mahbubnagar,11,GEN,Telangana,Aruna. D. K,Bharatiya Janta Party,"16,82,470","12,26,078",72.90%,"4,500",0.40%
330,Mahesana,4,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,"17,70,617","10,76,827",60.80%,"3,28,046",30.50%
331,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,"17,90,797","10,54,011",58.90%,"2,21,639",21.00%
332,Malappuram,6,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,"14,79,921","10,85,182",73.30%,"3,00,118",27.70%
333,Maldaha Dakshi,8,GEN,West Bengal,Isha Khan Choudhury,Indian National Congress,"17,82,159","13,69,789",76.90%,"1,28,368",9.40%
334,Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,"18,62,035","14,17,589",76.10%,"77,708",5.50%
335,Malkajgiri,7,GEN,Telangana,Eatala Rajender,Bharatiya Janta Party,"37,79,596","19,33,843",51.20%,"3,91,475",20.20%
336,Mandi,2,GEN,Himachal Pradesh,Kangna Ranaut,Bharatiya Janta Party,"13,64,060","10,15,810",74.50%,"74,755",7.40%
337,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,"21,01,811","15,35,632",73.10%,"1,03,846",6.80%
338,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudheer Gupta,Bharatiya Janta Party,"18,98,060","14,33,492",75.50%,"5,00,655",34.90%
339,Mandya,20,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),"17,79,243","14,60,267",82.10%,"2,84,620",19.50%
340,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hemamalini Dharmendra Deol,Bharatiya Janta Party,"19,29,550","9,57,046",49.60%,"2,93,407",30.70%
341,Mathurapur,20,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,"18,17,068","14,96,024",82.00%,"2,01,057",13.40%
342,Maval,33,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,"25,85,018","14,19,401",54.90%,"96,615",6.80%
343,Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,"13,31,880","8,94,971",67.20%,"10,868",1.20%
344,Mayiladuthurai,28,GEN,Tamil Nadu,Sudha R,Indian National Congress,"15,45,568","10,87,708",70.40%,"2,71,183",24.90%
345,Mayurbhanj,5,ST,Orissa,Naba Charan Majhi,Bharatiya Janta Party,"15,42,927","11,74,050",76.10%,"2,19,334",18.70%
346,Medak,6,GEN,Telangana,Madhavaneni Raghunandan Rao,Bharatiya Janta Party,"18,28,210","13,86,239",75.80%,"39,139",2.80%
347,Medinipur,34,GEN,West Bengal,June Maliah,All India Trinamool Congress,"18,11,243","14,81,563",81.80%,"27,191",1.80%
348,Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Arun Govil,Bharatiya Janta Party,"20,00,530","11,82,479",59.10%,"10,585",0.90%
349,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Patel,Apna Dal (Soneylal),"19,06,327","11,05,405",58.00%,"37,810",3.40%
350,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,"18,78,195","10,51,983",56.00%,"33,406",3.20%
351,Mizoram,1,ST,Mizoram,Richard Vanlalhmangaiha,Zoram People’s Movement,"8,56,364","4,91,336",57.40%,"68,288",13.90%
352,Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],R.K. Chaudhary,Samajwadi Party,"21,87,232","13,77,452",63.00%,"70,292",5.10%
353,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Ruchi Vira,Samajwadi Party,"20,59,578","12,83,185",62.30%,"1,05,762",8.20%
354,Morena,1,GEN,Madhya Pradesh [2000 Onwards],Shivmangal Singh Tomar,Bharatiya Janta Party,"20,06,730","11,87,331",59.20%,"52,530",4.40%
355,Mumbai North,26,GEN,Maharashtra,Piyush Goyal,Bharatiya Janta Party,"18,11,942","10,35,493",57.20%,"3,57,608",34.50%
356,Mumbai North Central,29,GEN,Maharashtra,Gaikwad Varsha Eknath,Indian National Congress,"17,44,128","9,10,562",52.20%,"16,514",1.80%
357,Mumbai North East,28,GEN,Maharashtra,Sanjay Dina Patil,Shiv Sena (Uddhav Balasaheb Thackrey),"16,36,890","9,26,469",56.60%,"29,861",3.20%
358,Mumbai North West,27,GEN,Maharashtra,Ravindra Dattaram Waikar,Shiv Sena,"17,35,088","9,54,939",55.00%,48,0.00%
359,Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena (Uddhav Balasaheb Thackrey),"15,36,168","7,73,113",50.30%,"52,673",6.80%
360,Mumbai South Central,30,GEN,Maharashtra,Anil Yeshwant Desai,Shiv Sena (Uddhav Balasaheb Thackrey),"14,74,405","7,94,524",53.90%,"53,384",6.70%
361,Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),"20,42,279","11,39,081",55.80%,"80,870",7.10%
